calibration_reviewer_name,conversation_external_id,rating_category_name,rating_value,rating_max
Annotator1,0726796f-3f2f-4a05-a777-83b53db14663,Does the content make sense?,1.0,1
Annotator1,0726796f-3f2f-4a05-a777-83b53db14663,"Is this fluent, human-written Estonian?",2.0,3
Annotator2,0726796f-3f2f-4a05-a777-83b53db14663,"Is this fluent, human-written Estonian?",3.0,3
Annotator2,0726796f-3f2f-4a05-a777-83b53db14663,Does the content make sense?,1.0,1
Annotator4,0726796f-3f2f-4a05-a777-83b53db14663,Does the content make sense?,1.0,1
Annotator4,0726796f-3f2f-4a05-a777-83b53db14663,"Is this fluent, human-written Estonian?",2.0,3
Annotator5,0726796f-3f2f-4a05-a777-83b53db14663,"Is this fluent, human-written Estonian?",2.0,3
Annotator5,0726796f-3f2f-4a05-a777-83b53db14663,Does the content make sense?,0.0,1
Annotator1,082fc369-2c1a-4d75-8df1-7071f8dea806,Does the content make sense?,1.0,1
Annotator1,082fc369-2c1a-4d75-8df1-7071f8dea806,"Is this fluent, human-written Estonian?",1.0,3
Annotator2,082fc369-2c1a-4d75-8df1-7071f8dea806,"Is this fluent, human-written Estonian?",2.0,3
Annotator2,082fc369-2c1a-4d75-8df1-7071f8dea806,Does the content make sense?,0.0,1
Annotator4,082fc369-2c1a-4d75-8df1-7071f8dea806,Does the content make sense?,1.0,1
Annotator4,082fc369-2c1a-4d75-8df1-7071f8dea806,"Is this fluent, human-written Estonian?",0.0,3
Annotator5,082fc369-2c1a-4d75-8df1-7071f8dea806,Does the content make sense?,1.0,1
Annotator5,082fc369-2c1a-4d75-8df1-7071f8dea806,"Is this fluent, human-written Estonian?",0.0,3
Annotator1,0c9fcd18-3dd4-48c3-980e-63e1d60c14ad,Does the content make sense?,1.0,1
Annotator1,0c9fcd18-3dd4-48c3-980e-63e1d60c14ad,"Is this fluent, human-written Estonian?",3.0,3
Annotator2,0c9fcd18-3dd4-48c3-980e-63e1d60c14ad,Does the content make sense?,1.0,1
Annotator2,0c9fcd18-3dd4-48c3-980e-63e1d60c14ad,"Is this fluent, human-written Estonian?",,3
Annotator4,0c9fcd18-3dd4-48c3-980e-63e1d60c14ad,Does the content make sense?,1.0,1
Annotator4,0c9fcd18-3dd4-48c3-980e-63e1d60c14ad,"Is this fluent, human-written Estonian?",3.0,3
Annotator5,0c9fcd18-3dd4-48c3-980e-63e1d60c14ad,"Is this fluent, human-written Estonian?",2.0,3
Annotator5,0c9fcd18-3dd4-48c3-980e-63e1d60c14ad,Does the content make sense?,0.0,1
Annotator1,0cccb2b2-bd38-41fe-aa8c-b827c4c768af,Does the content make sense?,1.0,1
Annotator1,0cccb2b2-bd38-41fe-aa8c-b827c4c768af,"Is this fluent, human-written Estonian?",2.0,3
Annotator2,0cccb2b2-bd38-41fe-aa8c-b827c4c768af,Does the content make sense?,1.0,1
Annotator2,0cccb2b2-bd38-41fe-aa8c-b827c4c768af,"Is this fluent, human-written Estonian?",2.0,3
Annotator4,0cccb2b2-bd38-41fe-aa8c-b827c4c768af,"Is this fluent, human-written Estonian?",1.0,3
Annotator4,0cccb2b2-bd38-41fe-aa8c-b827c4c768af,Does the content make sense?,1.0,1
Annotator5,0cccb2b2-bd38-41fe-aa8c-b827c4c768af,"Is this fluent, human-written Estonian?",0.0,3
Annotator5,0cccb2b2-bd38-41fe-aa8c-b827c4c768af,Does the content make sense?,1.0,1
Annotator1,0e99f419-bc46-4f71-b698-967ef8426790,Does the content make sense?,0.0,1
Annotator1,0e99f419-bc46-4f71-b698-967ef8426790,"Is this fluent, human-written Estonian?",3.0,3
Annotator2,0e99f419-bc46-4f71-b698-967ef8426790,Does the content make sense?,1.0,1
Annotator2,0e99f419-bc46-4f71-b698-967ef8426790,"Is this fluent, human-written Estonian?",2.0,3
Annotator4,0e99f419-bc46-4f71-b698-967ef8426790,"Is this fluent, human-written Estonian?",2.0,3
Annotator4,0e99f419-bc46-4f71-b698-967ef8426790,Does the content make sense?,1.0,1
Annotator5,0e99f419-bc46-4f71-b698-967ef8426790,Does the content make sense?,1.0,1
Annotator5,0e99f419-bc46-4f71-b698-967ef8426790,"Is this fluent, human-written Estonian?",1.0,3
Annotator1,1450d272-15b1-4680-8310-7c496431d759,Does the content make sense?,1.0,1
Annotator1,1450d272-15b1-4680-8310-7c496431d759,"Is this fluent, human-written Estonian?",2.0,3
Annotator2,1450d272-15b1-4680-8310-7c496431d759,Does the content make sense?,1.0,1
Annotator2,1450d272-15b1-4680-8310-7c496431d759,"Is this fluent, human-written Estonian?",2.0,3
Annotator4,1450d272-15b1-4680-8310-7c496431d759,Does the content make sense?,1.0,1
Annotator4,1450d272-15b1-4680-8310-7c496431d759,"Is this fluent, human-written Estonian?",3.0,3
Annotator5,1450d272-15b1-4680-8310-7c496431d759,"Is this fluent, human-written Estonian?",2.0,3
Annotator5,1450d272-15b1-4680-8310-7c496431d759,Does the content make sense?,1.0,1
Annotator1,15451eaa-47aa-4a09-8d3c-9c89af52e1e7,Does the content make sense?,1.0,1
Annotator1,15451eaa-47aa-4a09-8d3c-9c89af52e1e7,"Is this fluent, human-written Estonian?",3.0,3
Annotator2,15451eaa-47aa-4a09-8d3c-9c89af52e1e7,"Is this fluent, human-written Estonian?",2.0,3
Annotator2,15451eaa-47aa-4a09-8d3c-9c89af52e1e7,Does the content make sense?,1.0,1
Annotator4,15451eaa-47aa-4a09-8d3c-9c89af52e1e7,"Is this fluent, human-written Estonian?",2.0,3
Annotator4,15451eaa-47aa-4a09-8d3c-9c89af52e1e7,Does the content make sense?,1.0,1
Annotator5,15451eaa-47aa-4a09-8d3c-9c89af52e1e7,"Is this fluent, human-written Estonian?",3.0,3
Annotator5,15451eaa-47aa-4a09-8d3c-9c89af52e1e7,Does the content make sense?,1.0,1
Annotator1,188bb501-5d63-49fb-8a4e-971c9f3941b3,"Is this fluent, human-written Estonian?",3.0,3
Annotator1,188bb501-5d63-49fb-8a4e-971c9f3941b3,Does the content make sense?,1.0,1
Annotator2,188bb501-5d63-49fb-8a4e-971c9f3941b3,Does the content make sense?,1.0,1
Annotator2,188bb501-5d63-49fb-8a4e-971c9f3941b3,"Is this fluent, human-written Estonian?",3.0,3
Annotator4,188bb501-5d63-49fb-8a4e-971c9f3941b3,Does the content make sense?,1.0,1
Annotator4,188bb501-5d63-49fb-8a4e-971c9f3941b3,"Is this fluent, human-written Estonian?",2.0,3
Annotator5,188bb501-5d63-49fb-8a4e-971c9f3941b3,Does the content make sense?,1.0,1
Annotator5,188bb501-5d63-49fb-8a4e-971c9f3941b3,"Is this fluent, human-written Estonian?",2.0,3
Annotator1,1949eee8-8e2d-49a3-8ac6-455dd5a15f59,Does the content make sense?,0.0,1
Annotator1,1949eee8-8e2d-49a3-8ac6-455dd5a15f59,"Is this fluent, human-written Estonian?",3.0,3
Annotator2,1949eee8-8e2d-49a3-8ac6-455dd5a15f59,Does the content make sense?,0.0,1
Annotator2,1949eee8-8e2d-49a3-8ac6-455dd5a15f59,"Is this fluent, human-written Estonian?",1.0,3
Annotator4,1949eee8-8e2d-49a3-8ac6-455dd5a15f59,Does the content make sense?,1.0,1
Annotator4,1949eee8-8e2d-49a3-8ac6-455dd5a15f59,"Is this fluent, human-written Estonian?",1.0,3
Annotator5,1949eee8-8e2d-49a3-8ac6-455dd5a15f59,"Is this fluent, human-written Estonian?",1.0,3
Annotator5,1949eee8-8e2d-49a3-8ac6-455dd5a15f59,Does the content make sense?,0.0,1
Annotator1,1b099f4c-099d-43ee-b298-e30c2486628a,"Is this fluent, human-written Estonian?",2.0,3
Annotator1,1b099f4c-099d-43ee-b298-e30c2486628a,Does the content make sense?,0.0,1
Annotator2,1b099f4c-099d-43ee-b298-e30c2486628a,Does the content make sense?,0.0,1
Annotator2,1b099f4c-099d-43ee-b298-e30c2486628a,"Is this fluent, human-written Estonian?",2.0,3
Annotator4,1b099f4c-099d-43ee-b298-e30c2486628a,"Is this fluent, human-written Estonian?",2.0,3
Annotator4,1b099f4c-099d-43ee-b298-e30c2486628a,Does the content make sense?,0.0,1
Annotator5,1b099f4c-099d-43ee-b298-e30c2486628a,Does the content make sense?,0.0,1
Annotator5,1b099f4c-099d-43ee-b298-e30c2486628a,"Is this fluent, human-written Estonian?",1.0,3
Annotator1,1b0da3b7-65ba-4c74-b381-49abea08ec19,"Is this fluent, human-written Estonian?",2.0,3
Annotator1,1b0da3b7-65ba-4c74-b381-49abea08ec19,Does the content make sense?,1.0,1
Annotator2,1b0da3b7-65ba-4c74-b381-49abea08ec19,"Is this fluent, human-written Estonian?",1.0,3
Annotator2,1b0da3b7-65ba-4c74-b381-49abea08ec19,Does the content make sense?,1.0,1
Annotator4,1b0da3b7-65ba-4c74-b381-49abea08ec19,"Is this fluent, human-written Estonian?",2.0,3
Annotator4,1b0da3b7-65ba-4c74-b381-49abea08ec19,Does the content make sense?,1.0,1
Annotator5,1b0da3b7-65ba-4c74-b381-49abea08ec19,"Is this fluent, human-written Estonian?",0.0,3
Annotator5,1b0da3b7-65ba-4c74-b381-49abea08ec19,Does the content make sense?,0.0,1
Annotator1,1d3c003d-591a-4a74-9bbd-1814a666ae29,Does the content make sense?,0.0,1
Annotator1,1d3c003d-591a-4a74-9bbd-1814a666ae29,"Is this fluent, human-written Estonian?",1.0,3
Annotator2,1d3c003d-591a-4a74-9bbd-1814a666ae29,Does the content make sense?,1.0,1
Annotator2,1d3c003d-591a-4a74-9bbd-1814a666ae29,"Is this fluent, human-written Estonian?",1.0,3
Annotator4,1d3c003d-591a-4a74-9bbd-1814a666ae29,"Is this fluent, human-written Estonian?",1.0,3
Annotator4,1d3c003d-591a-4a74-9bbd-1814a666ae29,Does the content make sense?,1.0,1
Annotator5,1d3c003d-591a-4a74-9bbd-1814a666ae29,"Is this fluent, human-written Estonian?",1.0,3
Annotator5,1d3c003d-591a-4a74-9bbd-1814a666ae29,Does the content make sense?,0.0,1
Annotator1,1e33000a-4c5b-4bfd-b622-f91e8a9cd2ec,"Is this fluent, human-written Estonian?",3.0,3
Annotator1,1e33000a-4c5b-4bfd-b622-f91e8a9cd2ec,Does the content make sense?,1.0,1
Annotator2,1e33000a-4c5b-4bfd-b622-f91e8a9cd2ec,Does the content make sense?,1.0,1
Annotator2,1e33000a-4c5b-4bfd-b622-f91e8a9cd2ec,"Is this fluent, human-written Estonian?",3.0,3
Annotator4,1e33000a-4c5b-4bfd-b622-f91e8a9cd2ec,"Is this fluent, human-written Estonian?",3.0,3
Annotator4,1e33000a-4c5b-4bfd-b622-f91e8a9cd2ec,Does the content make sense?,1.0,1
Annotator5,1e33000a-4c5b-4bfd-b622-f91e8a9cd2ec,"Is this fluent, human-written Estonian?",2.0,3
Annotator5,1e33000a-4c5b-4bfd-b622-f91e8a9cd2ec,Does the content make sense?,1.0,1
Annotator1,1e6bb177-8128-4fae-a9d1-9d1ab5f1c803,Does the content make sense?,1.0,1
Annotator1,1e6bb177-8128-4fae-a9d1-9d1ab5f1c803,"Is this fluent, human-written Estonian?",2.0,3
Annotator2,1e6bb177-8128-4fae-a9d1-9d1ab5f1c803,"Is this fluent, human-written Estonian?",2.0,3
Annotator2,1e6bb177-8128-4fae-a9d1-9d1ab5f1c803,Does the content make sense?,0.0,1
Annotator4,1e6bb177-8128-4fae-a9d1-9d1ab5f1c803,"Is this fluent, human-written Estonian?",2.0,3
Annotator4,1e6bb177-8128-4fae-a9d1-9d1ab5f1c803,Does the content make sense?,0.0,1
Annotator5,1e6bb177-8128-4fae-a9d1-9d1ab5f1c803,"Is this fluent, human-written Estonian?",1.0,3
Annotator5,1e6bb177-8128-4fae-a9d1-9d1ab5f1c803,Does the content make sense?,1.0,1
Annotator1,1ff4e400-670b-4db4-b26d-126edd783238,Does the content make sense?,1.0,1
Annotator1,1ff4e400-670b-4db4-b26d-126edd783238,"Is this fluent, human-written Estonian?",3.0,3
Annotator2,1ff4e400-670b-4db4-b26d-126edd783238,"Is this fluent, human-written Estonian?",3.0,3
Annotator2,1ff4e400-670b-4db4-b26d-126edd783238,Does the content make sense?,0.0,1
Annotator4,1ff4e400-670b-4db4-b26d-126edd783238,Does the content make sense?,1.0,1
Annotator4,1ff4e400-670b-4db4-b26d-126edd783238,"Is this fluent, human-written Estonian?",2.0,3
Annotator5,1ff4e400-670b-4db4-b26d-126edd783238,Does the content make sense?,1.0,1
Annotator5,1ff4e400-670b-4db4-b26d-126edd783238,"Is this fluent, human-written Estonian?",2.0,3
Annotator1,26bed5e1-7735-495e-a767-68282502ddb0,"Is this fluent, human-written Estonian?",3.0,3
Annotator1,26bed5e1-7735-495e-a767-68282502ddb0,Does the content make sense?,1.0,1
Annotator2,26bed5e1-7735-495e-a767-68282502ddb0,"Is this fluent, human-written Estonian?",3.0,3
Annotator2,26bed5e1-7735-495e-a767-68282502ddb0,Does the content make sense?,1.0,1
Annotator4,26bed5e1-7735-495e-a767-68282502ddb0,"Is this fluent, human-written Estonian?",3.0,3
Annotator4,26bed5e1-7735-495e-a767-68282502ddb0,Does the content make sense?,1.0,1
Annotator5,26bed5e1-7735-495e-a767-68282502ddb0,Does the content make sense?,1.0,1
Annotator5,26bed5e1-7735-495e-a767-68282502ddb0,"Is this fluent, human-written Estonian?",1.0,3
Annotator1,2793b379-2d55-4b87-aa22-9a016afc95ec,Does the content make sense?,1.0,1
Annotator1,2793b379-2d55-4b87-aa22-9a016afc95ec,"Is this fluent, human-written Estonian?",3.0,3
Annotator2,2793b379-2d55-4b87-aa22-9a016afc95ec,"Is this fluent, human-written Estonian?",2.0,3
Annotator2,2793b379-2d55-4b87-aa22-9a016afc95ec,Does the content make sense?,1.0,1
Annotator4,2793b379-2d55-4b87-aa22-9a016afc95ec,"Is this fluent, human-written Estonian?",3.0,3
Annotator4,2793b379-2d55-4b87-aa22-9a016afc95ec,Does the content make sense?,1.0,1
Annotator5,2793b379-2d55-4b87-aa22-9a016afc95ec,"Is this fluent, human-written Estonian?",1.0,3
Annotator5,2793b379-2d55-4b87-aa22-9a016afc95ec,Does the content make sense?,1.0,1
Annotator1,27c70814-2179-45c4-a3b0-1ffae1b1975a,Does the content make sense?,1.0,1
Annotator1,27c70814-2179-45c4-a3b0-1ffae1b1975a,"Is this fluent, human-written Estonian?",3.0,3
Annotator2,27c70814-2179-45c4-a3b0-1ffae1b1975a,"Is this fluent, human-written Estonian?",3.0,3
Annotator2,27c70814-2179-45c4-a3b0-1ffae1b1975a,Does the content make sense?,1.0,1
Annotator4,27c70814-2179-45c4-a3b0-1ffae1b1975a,Does the content make sense?,1.0,1
Annotator4,27c70814-2179-45c4-a3b0-1ffae1b1975a,"Is this fluent, human-written Estonian?",2.0,3
Annotator5,27c70814-2179-45c4-a3b0-1ffae1b1975a,"Is this fluent, human-written Estonian?",2.0,3
Annotator5,27c70814-2179-45c4-a3b0-1ffae1b1975a,Does the content make sense?,1.0,1
Annotator1,2b6a582d-6e1a-4b41-93fc-90710ae718d3,Does the content make sense?,0.0,1
Annotator1,2b6a582d-6e1a-4b41-93fc-90710ae718d3,"Is this fluent, human-written Estonian?",1.0,3
Annotator2,2b6a582d-6e1a-4b41-93fc-90710ae718d3,"Is this fluent, human-written Estonian?",2.0,3
Annotator2,2b6a582d-6e1a-4b41-93fc-90710ae718d3,Does the content make sense?,0.0,1
Annotator4,2b6a582d-6e1a-4b41-93fc-90710ae718d3,"Is this fluent, human-written Estonian?",1.0,3
Annotator4,2b6a582d-6e1a-4b41-93fc-90710ae718d3,Does the content make sense?,0.0,1
Annotator5,2b6a582d-6e1a-4b41-93fc-90710ae718d3,"Is this fluent, human-written Estonian?",1.0,3
Annotator5,2b6a582d-6e1a-4b41-93fc-90710ae718d3,Does the content make sense?,1.0,1
Annotator1,2c071eef-cd9c-42f9-831e-b68f67282984,Does the content make sense?,0.0,1
Annotator1,2c071eef-cd9c-42f9-831e-b68f67282984,"Is this fluent, human-written Estonian?",2.0,3
Annotator2,2c071eef-cd9c-42f9-831e-b68f67282984,Does the content make sense?,0.0,1
Annotator2,2c071eef-cd9c-42f9-831e-b68f67282984,"Is this fluent, human-written Estonian?",1.0,3
Annotator4,2c071eef-cd9c-42f9-831e-b68f67282984,Does the content make sense?,0.0,1
Annotator4,2c071eef-cd9c-42f9-831e-b68f67282984,"Is this fluent, human-written Estonian?",2.0,3
Annotator5,2c071eef-cd9c-42f9-831e-b68f67282984,Does the content make sense?,0.0,1
Annotator5,2c071eef-cd9c-42f9-831e-b68f67282984,"Is this fluent, human-written Estonian?",2.0,3
Annotator1,2ce6c9a2-27a7-4b14-89e6-af0180d24d70,Does the content make sense?,1.0,1
Annotator1,2ce6c9a2-27a7-4b14-89e6-af0180d24d70,"Is this fluent, human-written Estonian?",3.0,3
Annotator2,2ce6c9a2-27a7-4b14-89e6-af0180d24d70,Does the content make sense?,1.0,1
Annotator2,2ce6c9a2-27a7-4b14-89e6-af0180d24d70,"Is this fluent, human-written Estonian?",3.0,3
Annotator4,2ce6c9a2-27a7-4b14-89e6-af0180d24d70,"Is this fluent, human-written Estonian?",3.0,3
Annotator4,2ce6c9a2-27a7-4b14-89e6-af0180d24d70,Does the content make sense?,1.0,1
Annotator5,2ce6c9a2-27a7-4b14-89e6-af0180d24d70,Does the content make sense?,1.0,1
Annotator5,2ce6c9a2-27a7-4b14-89e6-af0180d24d70,"Is this fluent, human-written Estonian?",2.0,3
Annotator1,31fffcdd-74f3-4e6c-bd1e-7e38e754f6e6,Does the content make sense?,1.0,1
Annotator1,31fffcdd-74f3-4e6c-bd1e-7e38e754f6e6,"Is this fluent, human-written Estonian?",2.0,3
Annotator2,31fffcdd-74f3-4e6c-bd1e-7e38e754f6e6,"Is this fluent, human-written Estonian?",3.0,3
Annotator2,31fffcdd-74f3-4e6c-bd1e-7e38e754f6e6,Does the content make sense?,1.0,1
Annotator4,31fffcdd-74f3-4e6c-bd1e-7e38e754f6e6,"Is this fluent, human-written Estonian?",2.0,3
Annotator4,31fffcdd-74f3-4e6c-bd1e-7e38e754f6e6,Does the content make sense?,1.0,1
Annotator5,31fffcdd-74f3-4e6c-bd1e-7e38e754f6e6,"Is this fluent, human-written Estonian?",2.0,3
Annotator5,31fffcdd-74f3-4e6c-bd1e-7e38e754f6e6,Does the content make sense?,1.0,1
Annotator1,32ccd6cd-33e6-4e15-884d-09b3ac384449,Does the content make sense?,1.0,1
Annotator1,32ccd6cd-33e6-4e15-884d-09b3ac384449,"Is this fluent, human-written Estonian?",3.0,3
Annotator2,32ccd6cd-33e6-4e15-884d-09b3ac384449,Does the content make sense?,1.0,1
Annotator2,32ccd6cd-33e6-4e15-884d-09b3ac384449,"Is this fluent, human-written Estonian?",3.0,3
Annotator4,32ccd6cd-33e6-4e15-884d-09b3ac384449,Does the content make sense?,1.0,1
Annotator4,32ccd6cd-33e6-4e15-884d-09b3ac384449,"Is this fluent, human-written Estonian?",3.0,3
Annotator5,32ccd6cd-33e6-4e15-884d-09b3ac384449,Does the content make sense?,1.0,1
Annotator5,32ccd6cd-33e6-4e15-884d-09b3ac384449,"Is this fluent, human-written Estonian?",2.0,3
Annotator1,3842cfb5-75db-49b9-8f29-3fab33b0bc35,Does the content make sense?,0.0,1
Annotator1,3842cfb5-75db-49b9-8f29-3fab33b0bc35,"Is this fluent, human-written Estonian?",1.0,3
Annotator2,3842cfb5-75db-49b9-8f29-3fab33b0bc35,Does the content make sense?,0.0,1
Annotator2,3842cfb5-75db-49b9-8f29-3fab33b0bc35,"Is this fluent, human-written Estonian?",1.0,3
Annotator4,3842cfb5-75db-49b9-8f29-3fab33b0bc35,"Is this fluent, human-written Estonian?",1.0,3
Annotator4,3842cfb5-75db-49b9-8f29-3fab33b0bc35,Does the content make sense?,0.0,1
Annotator5,3842cfb5-75db-49b9-8f29-3fab33b0bc35,Does the content make sense?,1.0,1
Annotator5,3842cfb5-75db-49b9-8f29-3fab33b0bc35,"Is this fluent, human-written Estonian?",1.0,3
Annotator1,3e78a5eb-77bd-4888-993a-bfdc1356970e,"Is this fluent, human-written Estonian?",2.0,3
Annotator1,3e78a5eb-77bd-4888-993a-bfdc1356970e,Does the content make sense?,0.0,1
Annotator2,3e78a5eb-77bd-4888-993a-bfdc1356970e,"Is this fluent, human-written Estonian?",2.0,3
Annotator2,3e78a5eb-77bd-4888-993a-bfdc1356970e,Does the content make sense?,1.0,1
Annotator4,3e78a5eb-77bd-4888-993a-bfdc1356970e,Does the content make sense?,1.0,1
Annotator4,3e78a5eb-77bd-4888-993a-bfdc1356970e,"Is this fluent, human-written Estonian?",1.0,3
Annotator5,3e78a5eb-77bd-4888-993a-bfdc1356970e,Does the content make sense?,1.0,1
Annotator5,3e78a5eb-77bd-4888-993a-bfdc1356970e,"Is this fluent, human-written Estonian?",2.0,3
Annotator1,41bc172c-f78d-4cc0-9a4c-b3843fcfd64d,"Is this fluent, human-written Estonian?",3.0,3
Annotator1,41bc172c-f78d-4cc0-9a4c-b3843fcfd64d,Does the content make sense?,1.0,1
Annotator2,41bc172c-f78d-4cc0-9a4c-b3843fcfd64d,"Is this fluent, human-written Estonian?",2.0,3
Annotator2,41bc172c-f78d-4cc0-9a4c-b3843fcfd64d,Does the content make sense?,1.0,1
Annotator4,41bc172c-f78d-4cc0-9a4c-b3843fcfd64d,Does the content make sense?,1.0,1
Annotator4,41bc172c-f78d-4cc0-9a4c-b3843fcfd64d,"Is this fluent, human-written Estonian?",3.0,3
Annotator5,41bc172c-f78d-4cc0-9a4c-b3843fcfd64d,Does the content make sense?,1.0,1
Annotator5,41bc172c-f78d-4cc0-9a4c-b3843fcfd64d,"Is this fluent, human-written Estonian?",2.0,3
Annotator1,455ef472-dd6b-4133-baa9-319ed0686b2a,Does the content make sense?,1.0,1
Annotator1,455ef472-dd6b-4133-baa9-319ed0686b2a,"Is this fluent, human-written Estonian?",2.0,3
Annotator2,455ef472-dd6b-4133-baa9-319ed0686b2a,"Is this fluent, human-written Estonian?",2.0,3
Annotator2,455ef472-dd6b-4133-baa9-319ed0686b2a,Does the content make sense?,0.0,1
Annotator4,455ef472-dd6b-4133-baa9-319ed0686b2a,Does the content make sense?,0.0,1
Annotator4,455ef472-dd6b-4133-baa9-319ed0686b2a,"Is this fluent, human-written Estonian?",2.0,3
Annotator5,455ef472-dd6b-4133-baa9-319ed0686b2a,Does the content make sense?,0.0,1
Annotator5,455ef472-dd6b-4133-baa9-319ed0686b2a,"Is this fluent, human-written Estonian?",1.0,3
Annotator1,46356d80-7ae5-4453-aa4d-f047b4734909,"Is this fluent, human-written Estonian?",3.0,3
Annotator1,46356d80-7ae5-4453-aa4d-f047b4734909,Does the content make sense?,1.0,1
Annotator2,46356d80-7ae5-4453-aa4d-f047b4734909,"Is this fluent, human-written Estonian?",2.0,3
Annotator2,46356d80-7ae5-4453-aa4d-f047b4734909,Does the content make sense?,1.0,1
Annotator4,46356d80-7ae5-4453-aa4d-f047b4734909,Does the content make sense?,1.0,1
Annotator4,46356d80-7ae5-4453-aa4d-f047b4734909,"Is this fluent, human-written Estonian?",2.0,3
Annotator5,46356d80-7ae5-4453-aa4d-f047b4734909,"Is this fluent, human-written Estonian?",2.0,3
Annotator5,46356d80-7ae5-4453-aa4d-f047b4734909,Does the content make sense?,1.0,1
Annotator1,4872962a-9f37-4390-81f6-41de9e947986,Does the content make sense?,1.0,1
Annotator1,4872962a-9f37-4390-81f6-41de9e947986,"Is this fluent, human-written Estonian?",3.0,3
Annotator2,4872962a-9f37-4390-81f6-41de9e947986,"Is this fluent, human-written Estonian?",3.0,3
Annotator2,4872962a-9f37-4390-81f6-41de9e947986,Does the content make sense?,1.0,1
Annotator4,4872962a-9f37-4390-81f6-41de9e947986,"Is this fluent, human-written Estonian?",1.0,3
Annotator4,4872962a-9f37-4390-81f6-41de9e947986,Does the content make sense?,1.0,1
Annotator5,4872962a-9f37-4390-81f6-41de9e947986,Does the content make sense?,1.0,1
Annotator5,4872962a-9f37-4390-81f6-41de9e947986,"Is this fluent, human-written Estonian?",2.0,3
Annotator1,4a2f7f01-ae5e-4fb3-b6e3-3c5cc31bda05,Does the content make sense?,1.0,1
Annotator1,4a2f7f01-ae5e-4fb3-b6e3-3c5cc31bda05,"Is this fluent, human-written Estonian?",1.0,3
Annotator2,4a2f7f01-ae5e-4fb3-b6e3-3c5cc31bda05,Does the content make sense?,0.0,1
Annotator2,4a2f7f01-ae5e-4fb3-b6e3-3c5cc31bda05,"Is this fluent, human-written Estonian?",1.0,3
Annotator4,4a2f7f01-ae5e-4fb3-b6e3-3c5cc31bda05,Does the content make sense?,0.0,1
Annotator4,4a2f7f01-ae5e-4fb3-b6e3-3c5cc31bda05,"Is this fluent, human-written Estonian?",2.0,3
Annotator5,4a2f7f01-ae5e-4fb3-b6e3-3c5cc31bda05,Does the content make sense?,1.0,1
Annotator5,4a2f7f01-ae5e-4fb3-b6e3-3c5cc31bda05,"Is this fluent, human-written Estonian?",2.0,3
Annotator1,4eef28b7-0d14-4592-b717-9593365fab56,"Is this fluent, human-written Estonian?",2.0,3
Annotator1,4eef28b7-0d14-4592-b717-9593365fab56,Does the content make sense?,1.0,1
Annotator2,4eef28b7-0d14-4592-b717-9593365fab56,Does the content make sense?,1.0,1
Annotator2,4eef28b7-0d14-4592-b717-9593365fab56,"Is this fluent, human-written Estonian?",2.0,3
Annotator4,4eef28b7-0d14-4592-b717-9593365fab56,Does the content make sense?,1.0,1
